# cc_reference.draft.csv — BROUILLON généré le 2026-07-11 par `python -m trio_lab.ccref`.
# NE PAS FIGER SANS RELECTURE HUMAINE (CLAUDE.md règle 4) : durées/%slow extraits
# par heuristiques depuis la prose du wiki ; toute ligne avec `note_relecture`
# non vide demande une vérification. Après relecture : renommer en
# cc_reference.csv (fichier immuable, re-versionné à chaque rework).
#
# Source : League of Legends Wiki — « Types of Crowd Control/Sources » et pages de sorts,
# via l'API MediaWiki (https://wiki.leagueoflegends.com/en-us/api.php).
# Contenu dérivé sous licence CC BY-SA 4.0 ; attribution : League of Legends Wiki
# (https://wiki.leagueoflegends.com), communauté des contributeurs.
# League of Legends et Riot Games sont des marques de Riot Games, Inc.
#
# Colonnes : zone ∈ {mono, multi} (heuristique), fiabilite ∈ {point_click, skillshot}
# (le ciblage, indépendant de la condition), disponibilite ∈ {base, ultimate},
# repositionnement ∈ {0, 1} (airborne déplaçant), conditionnel ∈ {0, 1} (CC sous
# condition : collision terrain, charge complète — E de Poppy, Q de Bard).
# Les coefficients (poids par type, coef_zone, coef_conditionnel…) vivent dans la
# config, pas ici.
champion,sort,type_cc,duree_s,pct_slow,zone,fiabilite,disponibilite,repositionnement,conditionnel,note_relecture
Ornn,P,airborne,0.5,,multi,skillshot,base,1,1,relecture : conditionnel : cible brittle
Ornn,Q,airborne,0.25,,multi,skillshot,base,1,0,relecture : le pilier dure 4 s mais le hop est très court
Ornn,Q,slow,2.0,40.0,multi,skillshot,base,0,0,
Ornn,R,airborne,1.0,,multi,skillshot,ultimate,0,1,relecture : relecture zone/fiabilité : zone multi
Ornn,R,slow,2.0,50.0,mono,skillshot,ultimate,0,0,"%slow depuis leveling « Slow », moyenne retenue"
Ornn,R,stun,1.0,,mono,skillshot,ultimate,0,0,
Pantheon,R,slow,2.0,50.0,multi,skillshot,ultimate,0,0,
Pantheon,W,stun,1.0,,mono,point_click,base,0,0,
Poppy,E,airborne,0.5,,mono,point_click,base,1,1,"conditionnel (collision/charge) — heuristique, à vérifier ; défaut appliqué : knockback/pull 0.5 s — à vérifier"
Poppy,E,stun,1.8,,mono,point_click,base,0,1,"durée depuis leveling « Stun Duration », moyenne retenue ; conditionnel (collision/charge) — heuristique, à vérifier"
Poppy,Q,slow,2.0,30.0,multi,skillshot,base,0,0,relecture : zone de slow
Poppy,R,airborne,0.5,,multi,skillshot,ultimate,1,0,
Poppy,W,airborne,0.5,,multi,point_click,base,0,0,
Poppy,W,ground,2.0,,multi,point_click,base,0,0,
Poppy,W,slow,2.0,25.0,multi,point_click,base,0,0,
Pyke,E,stun,1.25,,multi,skillshot,base,0,0,relecture : base 1.25 s (+0.1 s par 10 léthalité) — scaling à traiter plus tard
Pyke,Q,airborne,1.0,,mono,skillshot,base,1,0,
Pyke,Q,slow,1.0,90.0,mono,skillshot,base,0,0,
Qiyana,Q,root,0.5,,multi,skillshot,base,0,0,
Qiyana,Q,slow,1.0,20.0,multi,skillshot,base,0,0,
Qiyana,R,airborne,0.5,,multi,skillshot,ultimate,1,0,défaut appliqué : knockback/pull 0.5 s — à vérifier
Qiyana,R,stun,0.75,,multi,skillshot,ultimate,0,1,relecture : conditionnel (mur requis)
Quinn,E,airborne,0.5,,mono,point_click,base,1,0,
Quinn,E,slow,1.5,50.0,mono,point_click,base,0,0,
Rakan,R,charm,1.25,,multi,point_click,ultimate,0,1,relecture : relecture zone/fiabilité : zone multi
Rakan,R,slow,1.25,75.0,multi,point_click,ultimate,0,1,relecture : relecture zone/fiabilité : zone multi
Rakan,W,airborne,1.0,,multi,skillshot,base,0,0,
Rammus,E,taunt,1.6,,mono,point_click,base,0,0,"durée depuis leveling « Taunt Duration », moyenne retenue"
Rammus,Q,airborne,0.5,,multi,point_click,base,1,1,"conditionnel (collision/charge) — heuristique, à vérifier ; défaut appliqué : knockback/pull 0.5 s — à vérifier"
Rammus,Q,slow,1.0,60.0,multi,point_click,base,0,0,"%slow depuis leveling « Slow », moyenne retenue"
Rammus,Q,stun,1.0,,multi,point_click,base,0,0,
Rammus,R,airborne,0.75,,multi,skillshot,ultimate,0,1,"conditionnel (collision/charge) — heuristique, à vérifier"
Rammus,R,slow,1.5,40.0,multi,skillshot,ultimate,0,0,"%slow depuis leveling « Slow », moyenne retenue"
Rek'Sai,W,airborne,1.0,,multi,point_click,base,0,0,
Rell,Q,stun,0.65,,multi,skillshot,base,0,0,
Rell,R,airborne,0.5,,multi,point_click,ultimate,1,0,relecture : + attirance progressive vers Rell pendant 2 s
Rell,W,airborne,0.4,,multi,skillshot,base,0,0,
Rell,W,airborne,0.4,,mono,point_click,base,1,0,
Rell,W,stun,0.8,,multi,skillshot,base,0,0,
Rell,W,stun,0.6,,mono,point_click,base,0,0,
Renata Glasc,E,slow,2.0,30.0,multi,skillshot,base,0,0,
Renata Glasc,Q,airborne,0.5,,mono,skillshot,base,1,0,défaut appliqué : knockback/pull 0.5 s — à vérifier
Renata Glasc,Q,root,1.0,,mono,skillshot,base,0,0,
Renata Glasc,Q,stun,0.5,,mono,skillshot,base,0,1,relecture : stun conditionnel
Renekton,W,stun,0.75,,mono,point_click,base,0,0,
Rengar,E,root,1.75,,mono,skillshot,base,0,1,relecture : root 1.75 s ; conditionnel (stacks de passif requis)
Rengar,E,slow,1.75,60.0,mono,skillshot,base,0,0,"%slow depuis leveling « Slow », moyenne retenue"
Riven,Q,airborne,0.5,,multi,point_click,base,1,0,
Riven,W,stun,0.75,,multi,point_click,base,0,0,
Rumble,E,slow,2.0,3.0,mono,skillshot,base,0,0,"%slow depuis leveling « Slow », moyenne retenue"
Rumble,R,slow,2.0,35.0,multi,skillshot,ultimate,0,0,relecture : zone de slow
Ryze,W,root,1.5,,mono,point_click,base,0,1,relecture : root conditionnel (cible marquée Flux) 1.5 s
Ryze,W,slow,1.5,50.0,mono,point_click,base,0,0,
Samira,P,airborne,0.5,,mono,point_click,base,0,1,relecture : conditionnel (prolonge un airborne existant) ; relecture zone/fiabilité : fiabilité point_click
Sejuani,E,airborne,0.5,,multi,point_click,base,1,0,relecture : déplacement très court — conservé
Sejuani,E,stun,1.0,,multi,point_click,base,0,0,
Sejuani,Q,airborne,0.5,,multi,skillshot,base,0,1,relecture : relecture zone/fiabilité : zone multi
Sejuani,R,slow,1.0,30.0,multi,skillshot,ultimate,0,0,
Sejuani,R,stun,1.0,,mono,skillshot,ultimate,0,0,relecture : relecture zone/fiabilité : zone mono
Sejuani,W,slow,0.25,75.0,multi,skillshot,base,0,0,
Senna,Q,slow,1.5,15.0,multi,point_click,base,0,0,"durée depuis leveling « Slow Duration », moyenne retenue"
Senna,W,root,1.75,,mono,skillshot,base,0,0,"durée depuis leveling « Root Duration », moyenne retenue"
Seraphine,E,root,1.3,,multi,skillshot,base,0,1,relecture : root si la cible est déjà slow (stun si déjà root)
Seraphine,E,slow,1.3,99.0,multi,skillshot,base,0,0,"durée depuis leveling « Disable Duration », moyenne retenue"
Seraphine,E,stun,1.3,,multi,skillshot,base,0,0,"durée depuis leveling « Disable Duration », moyenne retenue"
Seraphine,R,charm,1.5,,multi,skillshot,ultimate,0,0,"durée depuis leveling « Disable Duration », moyenne retenue"
Seraphine,R,slow,1.5,40.0,multi,skillshot,ultimate,0,0,"durée depuis leveling « Disable Duration », moyenne retenue"
Sett,E,airborne,0.5,,multi,skillshot,base,1,0,défaut appliqué : knockback/pull 0.5 s — à vérifier
Sett,E,slow,0.5,70.0,multi,skillshot,base,0,0,
Sett,E,stun,1.0,,multi,skillshot,base,0,1,relecture : stun conditionnel
Sett,R,slow,1.0,99.0,multi,point_click,ultimate,0,0,
Sett,R,suppression,1.25,,mono,point_click,ultimate,0,0,relecture : relecture zone/fiabilité : zone mono
Shaco,E,slow,2.0,25.0,mono,point_click,base,0,0,"%slow depuis leveling « Slow », moyenne retenue"
Shaco,R,fear,1.0,,multi,skillshot,ultimate,0,0,
Shaco,R,root,0.5,,multi,skillshot,ultimate,0,0,
Shaco,R,slow,,73.0,multi,skillshot,ultimate,0,0,relecture : vitesse fixée à 100 (~73 %) — à valider
Shaco,W,fear,1.0,,multi,skillshot,base,0,0,relecture : fear ~1 s vs champions (2.2 s vs non-champions)
Shaco,W,root,0.9,,multi,skillshot,base,0,0,"durée depuis leveling « Root Duration », moyenne retenue"
Shaco,W,slow,1.25,73.0,multi,skillshot,base,0,0,relecture : vitesse fixée à 100 (~73 % vs ~375) pendant fear + 0.25 s — à valider
Shen,E,taunt,1.0,,multi,skillshot,base,0,0,relecture : 0.5 à 1.5 s — moyenne retenue ; relecture zone/fiabilité : zone multi
Shen,Q,slow,2.0,35.0,multi,point_click,base,0,0,relecture : slow 2 s
Shyvana,E,slow,0.85,30.0,multi,skillshot,base,0,1,relecture : 0.5/0.75/1/1/1 s — moyenne retenue
Shyvana,R,fear,0.75,,multi,skillshot,ultimate,0,0,
Singed,E,airborne,1.25,,mono,point_click,base,1,0,relecture : 0.75 à 1.75 s — moyenne retenue
Singed,E,root,1.5,,mono,point_click,base,0,1,relecture : conditionnel (atterrir dans le W)
Singed,W,ground,2.0,,multi,skillshot,base,0,1,relecture : zone — politique 2 s (validée)
Singed,W,slow,2.0,60.0,multi,skillshot,base,0,0,relecture : zone de slow
Sion,E,slow,2.5,50.0,mono,skillshot,base,0,0,"%slow depuis leveling « Slow », moyenne retenue"
Sion,Q,airborne,0.75,,multi,skillshot,base,0,0,défaut appliqué : knock-up 0.75 s — à vérifier
Sion,Q,slow,0.25,50.0,multi,skillshot,base,0,0,
Sion,Q,stun,1.75,,multi,skillshot,base,0,0,relecture : 1.25 à 2.25 s selon la charge — moyenne retenue
Sion,R,airborne,0.5,,multi,skillshot,ultimate,1,0,
Sion,R,slow,3.0,45.0,multi,skillshot,ultimate,0,0,"%slow depuis leveling « Slow », moyenne retenue"
Sion,R,stun,0.5,,multi,skillshot,ultimate,0,1,"conditionnel (collision/charge) — heuristique, à vérifier"
Skarner,E,stun,1.1,,multi,skillshot,base,0,1,relecture : relecture zone/fiabilité : zone multi
Skarner,E,suppression,1.25,,multi,skillshot,base,0,0,relecture : relecture zone/fiabilité : zone multi
Skarner,Q,slow,1.0,40.0,multi,point_click,base,0,0,relecture : relecture zone/fiabilité : zone multi
Skarner,R,suppression,1.5,,multi,skillshot,ultimate,0,0,
Skarner,W,slow,1.0,20.0,multi,point_click,base,0,0,
Smolder,R,slow,2.0,40.0,multi,skillshot,ultimate,0,0,relecture : slow 40 % pendant 2 s ; relecture zone/fiabilité : zone multi
Smolder,W,slow,1.5,35.0,multi,skillshot,base,0,0,
Sona,P,slow,2.0,50.0,mono,skillshot,base,0,0,
Sona,R,stun,1.5,,multi,skillshot,ultimate,0,0,
Soraka,E,root,1.5,,multi,skillshot,base,0,0,"durée depuis leveling « Root Duration », moyenne retenue"
Soraka,E,silence,2.0,,multi,skillshot,base,0,0,relecture : zone de silence
Soraka,Q,slow,1.5,30.0,multi,skillshot,base,0,0,
Swain,E,airborne,0.5,,multi,skillshot,base,1,1,relecture : airborne uniquement à la réactivation
Swain,E,airborne,0.5,,multi,skillshot,base,1,0,défaut appliqué : knockback/pull 0.5 s — à vérifier
Swain,E,root,1.5,,multi,skillshot,base,0,0,
Swain,R,slow,1.5,50.0,multi,point_click,ultimate,0,0,
Swain,W,slow,1.5,50.0,multi,skillshot,base,0,0,
Sylas,E,airborne,0.5,,mono,skillshot,base,0,0,
Sylas,E,stun,0.5,,mono,skillshot,base,0,0,
Sylas,Q,slow,1.5,25.0,multi,skillshot,base,0,0,"%slow depuis leveling « Slow », moyenne retenue"
Syndra,E,airborne,1.25,,multi,skillshot,base,1,0,
Syndra,E,slow,1.25,70.0,multi,skillshot,base,0,0,
Syndra,E,stun,1.25,,multi,skillshot,base,0,0,
Syndra,W,slow,1.5,25.0,multi,skillshot,base,0,0,
Tahm Kench,Q,slow,2.0,50.0,mono,skillshot,base,0,0,
Tahm Kench,Q,stun,1.5,,mono,skillshot,base,0,0,
Tahm Kench,R,airborne,0.5,,mono,skillshot,ultimate,1,0,défaut appliqué : knockback/pull 0.5 s — à vérifier
Tahm Kench,R,suppression,1.25,,mono,point_click,ultimate,0,0,défaut appliqué : suppression liée à un déplacement 1.25 s — à vérifier
Tahm Kench,W,airborne,1.0,,multi,skillshot,base,0,0,
Tahm Kench,W,stun,1.0,,multi,skillshot,base,0,0,
Taliyah,E,slow,2.0,20.0,multi,skillshot,base,0,0,relecture : zone de slow
Taliyah,E,stun,0.75,,multi,skillshot,base,0,1,relecture : stun conditionnel 0.75 s (dash à travers les mines)
Taliyah,Q,slow,1.5,30.0,multi,skillshot,base,0,0,"%slow depuis leveling « Slow », moyenne retenue"
Taliyah,Q,stun,3.0,,multi,skillshot,base,0,0,
Taliyah,R,airborne,0.5,,multi,skillshot,ultimate,1,0,relecture : le mur dure mais le hop est de 0.5 s ; relecture zone/fiabilité : zone multi
Taliyah,W,airborne,1.0,,multi,skillshot,base,1,0,
Taric,E,stun,1.5,,multi,skillshot,base,0,0,
Teemo,Q,blind,2.5,,mono,point_click,base,0,0,"durée depuis leveling « Blind Duration », moyenne retenue"
Teemo,R,slow,4.0,40.0,multi,skillshot,ultimate,0,0,"%slow depuis leveling « Slow », moyenne retenue"
Thresh,E,airborne,1.0,,multi,skillshot,base,1,0,
Thresh,E,slow,1.0,30.0,multi,skillshot,base,0,0,"%slow depuis leveling « Slow », moyenne retenue"
Thresh,Q,slow,1.0,20.0,mono,skillshot,base,0,0,
Thresh,R,slow,2.0,99.0,multi,point_click,ultimate,0,0,relecture : relecture zone/fiabilité : zone multi
Tristana,R,airborne,0.5,,mono,point_click,ultimate,1,0,défaut appliqué : knockback/pull 0.5 s — à vérifier
Tristana,R,stun,0.55,,mono,point_click,ultimate,0,0,"durée depuis leveling « Stun Duration », moyenne retenue"
Tristana,W,slow,2.0,40.0,multi,skillshot,base,0,0,
Trundle,E,airborne,0.25,,multi,skillshot,base,1,0,défaut appliqué : knock-up très court (mur/pilier) 0.25 s — à vérifier
Trundle,E,slow,,42.0,multi,skillshot,base,0,0,"%slow depuis leveling « Slow », moyenne retenue"
Trundle,Q,slow,0.1,75.0,mono,point_click,base,0,0,
Tryndamere,W,slow,4.0,40.0,multi,skillshot,base,0,1,relecture : slow conditionnel 4 s (cible dos tourné) ; relecture zone/fiabilité : zone multi
Twisted Fate,W,slow,2.5,40.0,mono,point_click,base,0,0,"%slow depuis leveling « Slow », moyenne retenue"
Twisted Fate,W,stun,1.5,,mono,point_click,base,0,0,"durée depuis leveling « Stun Duration », moyenne retenue"
Twitch,W,slow,2.0,40.0,multi,skillshot,base,0,0,relecture : zone de slow
Udyr,E,stun,0.75,,mono,point_click,base,0,0,
Udyr,R,slow,2.0,22.5,multi,point_click,ultimate,0,0,relecture : zone de slow
Urgot,E,airborne,1.0,,mono,skillshot,base,1,0,
Urgot,E,stun,1.0,,mono,skillshot,base,0,0,
Urgot,Q,slow,1.25,55.0,multi,skillshot,base,0,0,"%slow depuis leveling « Slow », moyenne retenue"
Urgot,R,fear,1.5,,multi,skillshot,ultimate,0,0,
Urgot,R,slow,4.0,75.0,multi,skillshot,ultimate,0,0,relecture : à l'impact : 0-75 % selon les PV manquants pendant 4 s
Urgot,R,suppression,1.25,,multi,skillshot,ultimate,0,0,défaut appliqué : suppression liée à un déplacement 1.25 s — à vérifier
Varus,E,slow,2.0,40.0,multi,skillshot,base,0,0,relecture : zone de slow
Varus,R,root,2.0,,multi,skillshot,ultimate,0,0,relecture : relecture zone/fiabilité : zone multi
Vayne,E,airborne,0.5,,mono,point_click,base,1,0,relecture : l'airborne est inconditionnel
Vayne,E,stun,1.5,,mono,point_click,base,0,1,relecture : conditionnel (collision mur)
Veigar,E,stun,2.0,,mono,skillshot,base,0,1,"durée depuis leveling « Stun Duration », moyenne retenue ; conditionnel (collision/charge) — heuristique, à vérifier"
Vel'Koz,E,airborne,0.75,,multi,skillshot,base,1,0,
Vel'Koz,E,stun,0.75,,multi,skillshot,base,0,0,
Vel'Koz,Q,slow,1.8,70.0,multi,skillshot,base,0,0,"durée depuis leveling « Slow Duration », moyenne retenue"
Vel'Koz,R,slow,1.0,20.0,multi,skillshot,ultimate,0,0,
Vex,E,slow,2.0,40.0,multi,skillshot,base,0,0,"%slow depuis leveling « Slow », moyenne retenue"
Vex,P,fear,1.125,,multi,skillshot,base,0,0,"durée variable ({{pp|0.75 to 1.5 for 4|1;6;9;13}}), moyenne retenue"
Vex,P,slow,1.125,79.5,multi,skillshot,base,0,0,relecture : slow 1.125 s
Vi,Q,airborne,0.75,,multi,skillshot,base,1,0,
Vi,R,airborne,1.3,,mono,point_click,ultimate,1,0,
Vi,R,stun,0.75,,mono,point_click,ultimate,0,0,
Viego,R,airborne,0.5,,multi,skillshot,ultimate,1,0,défaut appliqué : knockback/pull 0.5 s — à vérifier
Viego,R,slow,0.25,99.0,multi,skillshot,ultimate,0,0,
Viego,W,stun,0.75,,mono,skillshot,base,0,1,"durée variable ({{pp|type=channel time|0.25 to 1.25 for 5|0 to 1|formula=0.25 + (0.25 per 0.25 seconds channeled).|changedisplay = true}}), moyenne retenue ; conditionnel (collision/charge) — heuristique, à vérifier"
Viktor,W,slow,1.0,20.0,multi,skillshot,base,0,0,
Viktor,W,stun,1.5,,multi,skillshot,base,0,0,
Vladimir,E,slow,0.5,20.0,multi,point_click,base,0,0,
Vladimir,W,slow,2.0,40.0,multi,point_click,base,0,0,relecture : zone de slow autour de lui
Volibear,E,slow,2.0,40.0,multi,skillshot,base,0,0,
Volibear,Q,stun,1.0,,mono,point_click,base,0,0,
Volibear,R,slow,1.0,50.0,multi,skillshot,ultimate,0,0,
Warwick,E,fear,1.0,,multi,point_click,base,0,0,
Warwick,E,slow,1.0,90.0,multi,point_click,base,0,0,relecture : slow 1 s
Warwick,R,suppression,1.25,,mono,skillshot,ultimate,0,0,défaut appliqué : suppression liée à un déplacement 1.25 s — à vérifier
Wukong,R,airborne,0.6,,multi,point_click,ultimate,0,0,
Xayah,E,root,1.25,,multi,point_click,base,0,0,
Xerath,E,stun,1.5,,mono,skillshot,base,0,0,relecture : 0.75 à 2.25 s selon la distance — moyenne retenue
Xerath,W,slow,2.5,25.0,multi,skillshot,base,0,0,
Xin Zhao,E,slow,0.5,30.0,multi,point_click,base,0,0,
Xin Zhao,Q,airborne,0.75,,mono,point_click,base,0,0,
Xin Zhao,R,airborne,0.75,,multi,point_click,ultimate,1,0,
Xin Zhao,R,stun,0.75,,multi,point_click,ultimate,0,0,relecture : stun 0.75 s
Xin Zhao,W,slow,1.5,50.0,multi,skillshot,base,0,0,complété via wiki Fandom (contenu possiblement daté)
Yasuo,Q,airborne,0.9,,multi,skillshot,base,0,0,
Yasuo,R,airborne,1.0,,mono,point_click,ultimate,0,0,
Yone,Q,airborne,0.75,,multi,skillshot,base,0,0,
Yone,R,airborne,1.0,,multi,skillshot,ultimate,1,0,
Yone,R,stun,1.0,,multi,skillshot,ultimate,0,0,
Yorick,E,slow,1.5,30.0,multi,skillshot,base,0,0,
Yorick,W,airborne,0.25,,multi,skillshot,base,1,0,
Yunara,W,slow,1.5,99.0,multi,skillshot,base,0,1,"conditionnel (collision/charge) — heuristique, à vérifier"
Yunara,W,slow,1.0,99.0,multi,skillshot,base,0,0,
Yuumi,Q,slow,1.0,20.0,mono,skillshot,base,0,0,
Yuumi,R,slow,1.25,10.0,multi,skillshot,ultimate,0,0,relecture : non vérifiable sur le fandom — valeurs extraites conservées
Zaahen,Q,airborne,0.75,,mono,point_click,base,0,0,
Zaahen,W,airborne,0.5,,multi,skillshot,base,1,0,défaut appliqué : knockback/pull 0.5 s — à vérifier
Zaahen,W,stun,0.25,,multi,skillshot,base,0,0,
Zac,E,airborne,0.5,,multi,skillshot,base,0,0,
Zac,E,stun,0.5,,multi,skillshot,base,0,0,
Zac,Q,airborne,0.25,,multi,skillshot,base,1,0,
Zac,Q,root,0.5,,multi,skillshot,base,0,0,relecture : root 0.5 s avant le déplacement
Zac,Q,slow,0.5,40.0,multi,skillshot,base,0,0,
Zac,Q,stun,0.25,,multi,skillshot,base,0,0,
Zac,R,airborne,1.0,,multi,point_click,ultimate,1,0,
Zac,R,slow,1.0,20.0,multi,point_click,ultimate,0,0,relecture : slow 1 s
Zed,E,slow,1.5,50.0,multi,point_click,base,0,0,
Zeri,W,slow,2.0,40.0,multi,skillshot,base,0,0,"%slow depuis leveling « Slow », moyenne retenue"
Ziggs,E,slow,1.5,30.0,multi,skillshot,base,0,0,relecture : relecture zone/fiabilité : zone multi
Ziggs,W,airborne,0.5,,multi,skillshot,base,1,0,
Zilean,E,slow,2.5,74.667,mono,point_click,base,0,0,relecture : slow 2.5 s
Zilean,Q,stun,1.3,,multi,skillshot,base,0,0,"durée depuis leveling « Stun Duration », moyenne retenue"
Zoe,E,sleep,1.4,,mono,skillshot,base,0,0,
Zoe,E,slow,2.25,20.0,mono,skillshot,base,0,0,"%slow depuis leveling « Maximum Slow », moyenne retenue"
Zyra,E,root,1.5,,multi,skillshot,base,0,0,relecture : 1 à 2 s selon le rang — moyenne retenue
Zyra,R,airborne,1.0,,multi,skillshot,ultimate,0,0,
